Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
480.96	1008	
480.991	1010	
481.023	1012	
481.055	1016	
481.087	1018	
481.119	1016	
481.15	1014	
481.182	1020	
481.214	1018	
481.246	1008	
481.278	1014	
481.309	1014	
481.341	1016	
481.373	1010	
481.405	1014	
481.437	1016	
481.468	1014	
481.5	1010	
481.532	1006	
481.564	1014	
481.595	1012	
481.627	1018	
481.659	1012	
481.691	1016	
481.723	1014	
481.754	1008	
481.786	1014	
481.818	1016	
481.85	1014	
481.881	1018	
481.913	1008	
481.945	1012	
481.977	1022	
482.008	1016	
482.04	1012	
482.072	1018	
482.104	1016	
482.135	1014	
482.167	1020	
482.199	1008	
482.231	1018	
482.263	1018	
482.294	1014	
482.326	1012	
482.358	1016	
482.39	1010	
482.421	1016	
482.453	1014	
482.485	1016	
482.517	1016	
482.548	1010	
482.58	1018	
482.612	1014	
482.643	1008	
482.675	1012	
482.707	1010	
482.739	1016	
482.77	1018	
482.802	1012	
