Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
750.696	16906	
750.725	16992	
750.754	17174	
750.783	16962	
750.812	16994	
750.841	17144	
750.87	17132	
750.899	17174	
750.927	17246	
750.956	17164	
750.985	17260	
751.014	17318	
751.043	16970	
751.072	17186	
751.101	17224	
751.13	17230	
751.159	17118	
751.188	17246	
751.216	17320	
751.245	17182	
751.274	17224	
751.303	17024	
751.332	17328	
751.361	17250	
751.39	17118	
751.419	17178	
751.448	17056	
751.476	17126	
751.505	17072	
751.534	17034	
751.563	17170	
751.592	17310	
751.621	17286	
751.65	17120	
751.679	17298	
751.708	17044	
751.736	17112	
751.765	17184	
751.794	17176	
751.823	17186	
751.852	17182	
751.881	17296	
751.91	17322	
751.938	17106	
751.967	17168	
751.996	17034	
752.025	16902	
752.054	17048	
752.083	16776	
752.112	16740	
752.14	16850	
752.169	16836	
752.198	16856	
752.227	17034	
752.256	16996	
752.285	16828	
752.314	16726	
752.342	16654	
752.371	16458	
752.4	16428	
752.429	16476	
752.458	16410	
752.487	16430	
752.516	16210	
752.544	16266	
752.573	16578	
752.602	16472	
752.631	16340	
752.66	16242	
752.689	16412	
752.717	16176	
752.746	16262	
752.775	16104	
752.804	16186	
752.833	15828	
752.862	15850	
752.89	15732	
752.919	15618	
752.948	15678	
752.977	15600	
753.006	15540	
753.034	15582	
753.063	15548	
753.092	15362	
753.121	15234	
753.15	15292	
753.179	15312	
753.207	15202	
753.236	15158	
753.265	15216	
753.294	15094	
753.323	15020	
753.351	15068	
753.38	14926	
753.409	14894	
753.438	14792	
753.467	14732	
753.495	14532	
753.524	14426	
753.553	14488	
753.582	14340	
753.611	14462	
753.639	14218	
753.668	14128	
753.697	14136	
753.726	14062	
753.755	13936	
753.783	13776	
753.812	13786	
753.841	13734	
753.87	13646	
753.899	13640	
753.927	13630	
753.956	13636	
753.985	13596	
754.014	13452	
754.042	13392	
754.071	13208	
754.1	13142	
754.129	13130	
754.158	13132	
754.186	12934	
754.215	12758	
754.244	12580	
754.273	12688	
754.301	12574	
754.33	12556	
754.359	12594	
754.388	12460	
754.416	12416	
754.445	12258	
754.474	12236	
754.503	12012	
754.531	12104	
754.56	11890	
754.589	11750	
754.618	11748	
754.646	11604	
754.675	11612	
754.704	11514	
754.733	11424	
754.761	11372	
754.79	11318	
754.819	11154	
754.848	11230	
754.876	11056	
754.905	10892	
754.934	10820	
754.963	10786	
754.991	10646	
755.02	10686	
755.049	10586	
755.078	10484	
755.106	10482	
755.135	10534	
755.164	10292	
755.193	10156	
755.221	10076	
755.25	9996	
755.279	9994	
755.307	9876	
755.336	9894	
755.365	9772	
755.394	9740	
755.422	9784	
755.451	9636	
755.48	9536	
755.508	9470	
755.537	9386	
755.566	9232	
755.595	9288	
755.623	9124	
755.652	9010	
755.681	9050	
755.709	8936	
755.738	8956	
755.767	8828	
755.796	8804	
755.824	8750	
755.853	8654	
755.882	8616	
755.91	8418	
755.939	8398	
755.968	8326	
755.996	8270	
756.025	8256	
756.054	8172	
756.083	8080	
756.111	8070	
756.14	8092	
756.169	7922	
756.197	7840	
756.226	7790	
756.255	7730	
756.283	7642	
756.312	7542	
756.341	7506	
756.369	7474	
756.398	7352	
756.427	7378	
756.455	7236	
756.484	7226	
756.513	7160	
756.541	7124	
756.57	6922	
756.599	6960	
756.627	6880	
756.656	6810	
756.685	6788	
756.713	6754	
756.742	6688	
756.771	6652	
756.799	6624	
756.828	6538	
756.857	6460	
756.885	6450	
756.914	6406	
756.943	6334	
756.971	6164	
757	6112	
757.029	6088	
757.057	6120	
757.086	6078	
757.115	5930	
757.143	5872	
757.172	5962	
757.201	5808	
757.229	5800	
757.258	5716	
757.286	5680	
757.315	5610	
757.344	5550	
757.372	5540	
757.401	5430	
