Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
719.62	3728	
719.649	3734	
719.679	3710	
719.708	3760	
719.737	3734	
719.766	3734	
719.795	3736	
719.825	3660	
719.854	3668	
719.883	3694	
719.912	3722	
719.942	3724	
719.971	3712	
720	3742	
720.029	3692	
720.058	3754	
720.088	3728	
720.117	3734	
720.146	3756	
720.175	3718	
720.204	3754	
720.234	3742	
720.263	3710	
720.292	3742	
720.321	3764	
720.35	3700	
720.38	3686	
720.409	3702	
720.438	3750	
720.467	3766	
720.496	3770	
720.526	3764	
720.555	3722	
720.584	3694	
720.613	3722	
720.642	3680	
720.672	3762	
720.701	3698	
720.73	3700	
720.759	3698	
720.788	3708	
720.817	3720	
720.847	3722	
720.876	3692	
720.905	3712	
720.934	3692	
720.963	3708	
720.993	3758	
721.022	3706	
721.051	3670	
721.08	3702	
721.109	3684	
721.138	3698	
721.168	3728	
721.197	3706	
721.226	3756	
721.255	3712	
721.284	3724	
721.313	3708	
721.342	3690	
721.372	3760	
721.401	3688	
721.43	3742	
721.459	3764	
721.488	3742	
721.517	3726	
721.547	3724	
721.576	3720	
721.605	3714	
721.634	3706	
721.663	3694	
721.692	3690	
721.721	3700	
721.751	3696	
721.78	3766	
721.809	3748	
721.838	3738	
721.867	3722	
721.896	3762	
721.925	3728	
721.955	3734	
721.984	3716	
722.013	3724	
722.042	3738	
722.071	3734	
722.1	3720	
722.129	3708	
722.158	3710	
722.188	3652	
722.217	3724	
722.246	3760	
722.275	3700	
722.304	3692	
722.333	3712	
722.362	3726	
722.391	3714	
722.42	3664	
722.45	3730	
722.479	3752	
722.508	3764	
722.537	3752	
722.566	3704	
722.595	3732	
722.624	3722	
722.653	3740	
722.682	3738	
722.712	3656	
722.741	3704	
722.77	3692	
722.799	3678	
722.828	3722	
722.857	3726	
722.886	3692	
722.915	3756	
722.944	3752	
722.973	3714	
723.002	3748	
723.032	3702	
723.061	3706	
723.09	3710	
723.119	3716	
723.148	3728	
723.177	3686	
723.206	3774	
723.235	3642	
723.264	3692	
723.293	3744	
723.322	3712	
723.351	3712	
723.38	3738	
723.41	3702	
723.439	3722	
723.468	3690	
723.497	3702	
723.526	3720	
723.555	3696	
723.584	3698	
723.613	3742	
723.642	3666	
723.671	3694	
723.7	3694	
723.729	3694	
723.758	3748	
723.787	3650	
723.816	3692	
723.845	3748	
723.875	3732	
723.904	3748	
723.933	3716	
723.962	3724	
723.991	3674	
724.02	3700	
724.049	3720	
724.078	3702	
724.107	3710	
724.136	3692	
724.165	3674	
724.194	3692	
724.223	3716	
724.252	3678	
724.281	3718	
724.31	3692	
724.339	3670	
724.368	3694	
724.397	3692	
724.426	3676	
724.455	3730	
724.484	3650	
724.513	3682	
724.542	3722	
724.571	3728	
724.6	3736	
724.629	3686	
724.658	3718	
724.688	3674	
724.717	3638	
724.746	3706	
724.775	3712	
724.804	3694	
724.833	3706	
724.862	3676	
724.891	3666	
724.92	3642	
724.949	3658	
724.978	3654	
725.007	3674	
725.036	3718	
725.065	3712	
725.094	3678	
725.123	3658	
725.152	3660	
725.181	3690	
725.21	3674	
725.239	3690	
725.268	3668	
725.297	3654	
725.326	3690	
725.355	3648	
725.384	3662	
725.413	3702	
725.442	3660	
725.471	3658	
725.5	3746	
725.528	3648	
725.557	3688	
725.586	3644	
725.615	3660	
725.644	3628	
725.673	3652	
725.702	3694	
725.731	3666	
725.76	3636	
725.789	3688	
725.818	3700	
725.847	3690	
725.876	3688	
725.905	3664	
725.934	3696	
725.963	3648	
725.992	3674	
726.021	3660	
726.05	3668	
726.079	3636	
726.108	3666	
726.137	3666	
726.166	3706	
726.195	3666	
726.224	3660	
726.253	3686	
726.282	3658	
726.311	3674	
726.339	3624	
726.368	3608	
726.397	3664	
726.426	3660	
726.455	3668	
726.484	3670	
726.513	3676	
726.542	3676	
726.571	3682	
726.6	3676	
726.629	3654	
726.658	3664	
726.687	3646	
726.716	3616	
726.745	3686	
726.774	3688	
726.803	3686	
726.831	3654	
726.86	3662	
726.889	3686	
726.918	3674	
726.947	3646	
726.976	3662	
727.005	3612	
727.034	3660	
727.063	3634	
727.092	3648	
727.121	3650	
727.15	3618	
727.178	3646	
727.207	3620	
727.236	3620	
727.265	3684	
727.294	3646	
727.323	3644	
727.352	3662	
727.381	3678	
727.41	3648	
727.439	3658	
727.468	3660	
727.496	3644	
727.525	3684	
727.554	3694	
727.583	3644	
727.612	3644	
727.641	3654	
727.67	3656	
727.699	3652	
727.728	3632	
727.756	3666	
727.785	3680	
727.814	3684	
727.843	3706	
727.872	3656	
727.901	3640	
727.93	3664	
727.959	3668	
727.988	3622	
728.016	3666	
728.045	3646	
728.074	3648	
728.103	3674	
728.132	3662	
728.161	3682	
728.19	3638	
728.218	3630	
728.247	3666	
728.276	3640	
728.305	3588	
728.334	3632	
728.363	3608	
728.392	3662	
728.421	3646	
728.449	3664	
728.478	3638	
728.507	3650	
728.536	3622	
728.565	3672	
728.594	3636	
728.623	3686	
728.651	3700	
728.68	3640	
728.709	3656	
728.738	3650	
728.767	3604	
728.796	3602	
728.824	3658	
728.853	3614	
728.882	3566	
728.911	3618	
728.94	3636	
728.969	3628	
728.997	3648	
729.026	3648	
729.055	3584	
729.084	3628	
729.113	3570	
729.142	3604	
729.17	3620	
729.199	3632	
729.228	3630	
729.257	3616	
729.286	3608	
729.315	3630	
729.343	3614	
729.372	3624	
729.401	3608	
729.43	3588	
729.459	3594	
729.487	3572	
729.516	3642	
729.545	3618	
729.574	3622	
729.603	3584	
729.631	3606	
729.66	3576	
729.689	3638	
729.718	3616	
729.747	3612	
729.776	3614	
729.804	3598	
729.833	3592	
729.862	3576	
729.891	3568	
729.92	3622	
729.948	3642	
729.977	3614	
730.006	3602	
730.035	3612	
730.063	3600	
730.092	3650	
730.121	3608	
730.15	3630	
730.179	3646	
730.207	3562	
730.236	3614	
730.265	3612	
730.294	3636	
730.322	3562	
730.351	3570	
730.38	3594	
730.409	3576	
730.438	3550	
730.466	3620	
730.495	3566	
730.524	3634	
730.553	3574	
730.581	3626	
730.61	3578	
730.639	3600	
730.668	3616	
730.696	3584	
730.725	3584	
730.754	3596	
730.783	3582	
730.812	3586	
730.84	3598	
730.869	3568	
730.898	3594	
730.927	3566	
730.955	3582	
730.984	3588	
731.013	3586	
731.042	3606	
731.07	3566	
731.099	3580	
731.128	3594	
731.156	3582	
731.185	3560	
731.214	3578	
731.243	3568	
731.271	3568	
731.3	3548	
731.329	3530	
731.358	3588	
731.386	3540	
731.415	3490	
731.444	3576	
731.473	3552	
731.501	3530	
731.53	3566	
731.559	3570	
731.587	3552	
731.616	3580	
731.645	3562	
731.674	3556	
731.702	3580	
731.731	3564	
731.76	3556	
731.788	3546	
731.817	3580	
731.846	3544	
731.875	3524	
731.903	3564	
731.932	3568	
731.961	3548	
731.989	3530	
732.018	3532	
732.047	3582	
732.076	3516	
732.104	3544	
732.133	3518	
732.162	3602	
732.19	3584	
732.219	3550	
732.248	3542	
732.276	3520	
732.305	3528	
732.334	3520	
732.362	3518	
732.391	3538	
732.42	3546	
732.449	3586	
732.477	3542	
732.506	3540	
732.535	3548	
732.563	3556	
732.592	3510	
732.621	3544	
732.649	3530	
732.678	3548	
732.707	3596	
732.735	3524	
732.764	3564	
732.793	3568	
732.821	3524	
732.85	3564	
732.879	3530	
732.907	3544	
732.936	3520	
732.965	3542	
732.993	3508	
733.022	3536	
733.051	3484	
733.079	3462	
733.108	3522	
733.137	3500	
733.165	3490	
733.194	3516	
733.223	3478	
733.251	3502	
733.28	3538	
733.309	3534	
733.337	3448	
733.366	3496	
733.394	3510	
733.423	3450	
733.452	3492	
733.48	3496	
733.509	3514	
733.538	3500	
733.566	3468	
733.595	3482	
733.624	3514	
733.652	3496	
733.681	3458	
733.709	3478	
733.738	3492	
733.767	3504	
733.795	3460	
733.824	3490	
733.853	3528	
733.881	3532	
733.91	3526	
733.938	3520	
733.967	3454	
733.996	3514	
734.024	3464	
734.053	3472	
734.082	3468	
734.11	3498	
734.139	3500	
734.167	3470	
734.196	3448	
734.225	3446	
734.253	3468	
734.282	3442	
734.31	3462	
734.339	3472	
734.368	3500	
734.396	3468	
734.425	3486	
734.453	3470	
734.482	3482	
734.511	3440	
734.539	3428	
734.568	3500	
734.596	3504	
734.625	3468	
734.653	3454	
734.682	3480	
734.711	3406	
734.739	3462	
734.768	3442	
734.796	3474	
734.825	3476	
734.854	3472	
734.882	3432	
734.911	3456	
734.939	3458	
734.968	3462	
734.996	3444	
735.025	3428	
735.054	3456	
735.082	3394	
735.111	3462	
735.139	3450	
735.168	3450	
735.196	3456	
735.225	3444	
735.254	3454	
735.282	3454	
735.311	3422	
735.339	3450	
735.368	3444	
735.396	3456	
735.425	3422	
735.453	3430	
735.482	3452	
735.511	3434	
735.539	3440	
735.568	3418	
735.596	3408	
735.625	3420	
735.653	3468	
735.682	3392	
735.71	3432	
735.739	3454	
735.767	3410	
735.796	3440	
735.824	3428	
735.853	3436	
735.882	3446	
735.91	3444	
735.939	3432	
735.967	3468	
735.996	3430	
736.024	3424	
736.053	3410	
736.081	3442	
736.11	3392	
736.138	3428	
736.167	3412	
736.195	3434	
736.224	3382	
736.252	3424	
736.281	3434	
736.309	3416	
736.338	3412	
736.366	3432	
736.395	3388	
736.423	3390	
736.452	3440	
736.48	3396	
736.509	3412	
736.537	3370	
736.566	3400	
736.594	3398	
736.623	3392	
736.651	3402	
736.68	3422	
736.708	3428	
736.737	3380	
736.765	3412	
736.794	3438	
736.822	3414	
736.851	3358	
736.879	3402	
736.908	3422	
736.936	3416	
736.965	3444	
736.993	3462	
737.022	3388	
737.05	3398	
737.079	3428	
737.107	3370	
737.136	3372	
737.164	3392	
737.193	3412	
737.221	3388	
737.25	3398	
737.278	3412	
737.307	3386	
737.335	3408	
737.364	3422	
737.392	3392	
737.42	3398	
737.449	3390	
737.477	3404	
737.506	3366	
737.534	3352	
737.563	3364	
737.591	3388	
737.62	3344	
737.648	3452	
737.677	3392	
737.705	3350	
737.733	3396	
737.762	3368	
737.79	3356	
737.819	3456	
737.847	3386	
737.876	3382	
737.904	3388	
737.933	3424	
737.961	3418	
737.989	3384	
738.018	3368	
738.046	3404	
738.075	3424	
738.103	3418	
738.132	3376	
738.16	3400	
738.189	3382	
738.217	3398	
738.245	3418	
738.274	3410	
738.302	3396	
738.331	3340	
738.359	3388	
738.387	3374	
738.416	3402	
738.444	3432	
738.473	3376	
738.501	3372	
738.53	3376	
738.558	3380	
738.586	3374	
738.615	3360	
738.643	3386	
738.672	3392	
738.7	3376	
738.728	3376	
738.757	3394	
738.785	3398	
738.814	3400	
738.842	3358	
738.87	3420	
738.899	3354	
738.927	3432	
738.956	3426	
738.984	3404	
739.012	3376	
739.041	3380	
739.069	3362	
739.098	3358	
739.126	3386	
739.154	3384	
739.183	3356	
739.211	3344	
739.24	3372	
739.268	3390	
739.296	3368	
739.325	3374	
739.353	3372	
739.381	3404	
739.41	3348	
739.438	3370	
739.467	3384	
739.495	3384	
739.523	3392	
739.552	3386	
739.58	3340	
739.608	3374	
739.637	3370	
739.665	3366	
739.693	3384	
739.722	3448	
739.75	3344	
739.779	3370	
739.807	3344	
739.835	3376	
739.864	3372	
739.892	3348	
739.92	3360	
739.949	3386	
739.977	3332	
740.005	3364	
740.034	3404	
740.062	3394	
740.09	3356	
740.119	3346	
740.147	3338	
740.175	3394	
740.204	3348	
740.232	3344	
740.26	3366	
740.289	3374	
740.317	3318	
740.345	3360	
740.374	3328	
740.402	3428	
740.43	3362	
